product_name,category,current_price,rating,image_url,product_url,description,platform,price_day_1,price_day_2,price_day_3,price_day_4,price_day_5,price_day_6,price_day_7,price_day_8,price_day_9,price_day_10,future_price
Samsung Redmi Note 32GB/1024GB Fast Charge (OPT000011),Mobiles,105037.43,3.6,https://cdn.opticart.example/images/mobiles/11.jpg,https://www.amazon.in/dp/OPT000011?tag=opticart,"Samsung Redmi Note 32GB/1024GB Fast Charge (OPT000011) by Samsung. Category: Mobiles. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,105028.61,105900.91,107816.35,106570.2,105176.86,106402.64,107203.25,106006.11,108057.21,108965.51,110961.14
"Dell Aspire Ryzen 7 16GB 256GB 14"" (OPT000012)",Laptops,30902.94,4.4,https://cdn.opticart.example/images/laptops/12.jpg,https://www.amazon.in/dp/OPT000012?tag=opticart,"Dell Aspire Ryzen 7 16GB 256GB 14"" (OPT000012) by Dell. Category: Laptops. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,31314.63,31399.96,31797.35,31335.96,30904.59,30193.29,29771.69,30010.62,29702.58,30428.69,30114.63
Adidas Jeans Casual (OPT000013),Fashion,1341.66,4.2,https://cdn.opticart.example/images/fashion/13.jpg,https://www.amazon.in/dp/OPT000013?tag=opticart,"Adidas Jeans Casual (OPT000013) by Adidas. Category: Fashion. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,1340.99,1315.5,1310.54,1313.71,1302.11,1336.86,1356.17,1345.14,1334.91,1344.41,1378.88
boAt Headphones 4K (OPT000014),Electronics,41786.18,4.0,https://cdn.opticart.example/images/electronics/14.jpg,https://www.amazon.in/dp/OPT000014?tag=opticart,"boAt Headphones 4K (OPT000014) by boAt. Category: Electronics. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,40297.01,41046.58,41215.43,41804.26,43321.33,42751.81,43507.03,43630.13,44676.2,44036.47,45447.82
Godrej Washing Machine 5 Star (OPT000015),Home Appliances,148809.13,4.6,https://cdn.opticart.example/images/home-appliances/15.jpg,https://www.amazon.in/dp/OPT000015?tag=opticart,"Godrej Washing Machine 5 Star (OPT000015) by Godrej. Category: Home Appliances. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,154989.69,157159.81,156851.46,155627.05,156531.58,159811.46,163042.63,159581.65,160572.34,158528.97,163063.37
Ikigai (Fiction) (OPT000016),Books,628.24,4.1,https://cdn.opticart.example/images/books/16.jpg,https://www.amazon.in/dp/OPT000016?tag=opticart,"Ikigai (Fiction) (OPT000016) by HarperCollins. Category: Books. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,604.25,604.37,618.03,620.22,610.64,616.77,631.03,642.25,653.33,644.7,663.45
Lakme Shampoo Matte (OPT000017),Beauty,4693.21,4.4,https://cdn.opticart.example/images/beauty/17.jpg,https://www.amazon.in/dp/OPT000017?tag=opticart,"Lakme Shampoo Matte (OPT000017) by Lakme. Category: Beauty. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,4784.06,4847.5,4778.93,4746.74,4769.73,4757.77,4744.55,4743.34,4693.83,4637.52,4595.62
Nilkamal Dining Table Metal 3-Seater (OPT000018),Furniture,32634.55,4.1,https://cdn.opticart.example/images/furniture/18.jpg,https://www.amazon.in/dp/OPT000018?tag=opticart,"Nilkamal Dining Table Metal 3-Seater (OPT000018) by Nilkamal. Category: Furniture. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,33355.54,33025.13,32918.07,33117.17,32764.48,33068.11,34060.23,34662.6,34767.31,34513.07,34645.27
Asus Gaming Headset 4K (OPT000019),Gaming,118220.49,4.5,https://cdn.opticart.example/images/gaming/19.jpg,https://www.amazon.in/dp/OPT000019?tag=opticart,"Asus Gaming Headset 4K (OPT000019) by Asus. Category: Gaming. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,116804.86,114428.56,114073.8,111563.32,114387.41,112136.68,114023.16,113780.81,113275.97,112232.24,112416.41
Nestle Ghee 5kg (OPT000020),Groceries,3056.25,3.6,https://cdn.opticart.example/images/groceries/20.jpg,https://www.amazon.in/dp/OPT000020?tag=opticart,"Nestle Ghee 5kg (OPT000020) by Nestle. Category: Groceries. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,3083.05,3150.03,3050.45,3056.06,2969.86,3038.7,3078.03,3061.72,3041.55,3074.25,3071.88
OnePlus Nord (64GB) 5G (OPT000021),Mobiles,34117.46,4.0,https://cdn.opticart.example/images/mobiles/21.jpg,https://www.amazon.in/dp/OPT000021?tag=opticart,"OnePlus Nord (64GB) 5G (OPT000021) by OnePlus. Category: Mobiles. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,34496.53,34634.5,35047.26,34517.05,34948.12,35105.37,35776.62,35788.24,35721.21,36047.04,36967.43
Acer Inspiron Ryzen 5 32GB/512GB Office (OPT000022),Laptops,30056.74,4.0,https://cdn.opticart.example/images/laptops/22.jpg,https://www.amazon.in/dp/OPT000022?tag=opticart,"Acer Inspiron Ryzen 5 32GB/512GB Office (OPT000022) by Acer. Category: Laptops. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,29512.05,30213.92,30468.23,30908.73,31335.61,31685.26,31638.11,32231.55,32273.29,32087.77,33147.77
Adidas Jacket Casual (OPT000023),Fashion,5774.85,2.7,https://cdn.opticart.example/images/fashion/23.jpg,https://www.amazon.in/dp/OPT000023?tag=opticart,"Adidas Jacket Casual (OPT000023) by Adidas. Category: Fashion. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,5810.55,5892.31,5780.23,5891.12,5835.6,5863.89,5762.94,5804.82,5845.11,5944.74,6045.82
boAt Headphones 4K (OPT000024),Electronics,12538.05,4.3,https://cdn.opticart.example/images/electronics/24.jpg,https://www.amazon.in/dp/OPT000024?tag=opticart,"boAt Headphones 4K (OPT000024) by boAt. Category: Electronics. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,12585.22,12454.14,12384.78,12312.85,12555.12,12535.64,12670.57,12437.64,12454.65,12562.57,12624.68
LG Washing Machine Front Load (OPT000025),Home Appliances,119739.95,3.9,https://cdn.opticart.example/images/home-appliances/25.jpg,https://www.amazon.in/dp/OPT000025?tag=opticart,"LG Washing Machine Front Load (OPT000025) by LG. Category: Home Appliances. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,119771.14,116717.4,116637.81,115661.39,120785.96,120400.04,119577.18,121350.17,121066.15,121526.22,122311.23
Rich Dad Poor Dad - Fiction (OPT000026),Books,1351.11,4.4,https://cdn.opticart.example/images/books/26.jpg,https://www.amazon.in/dp/OPT000026?tag=opticart,"Rich Dad Poor Dad - Fiction (OPT000026) by Oxford. Category: Books. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,1343.7,1326.26,1324.96,1339.72,1358.91,1352.69,1334.98,1365.78,1364.02,1338.71,1307.2
Nivea Serum (Vitamin C) (OPT000027),Beauty,3338.26,4.7,https://cdn.opticart.example/images/beauty/27.jpg,https://www.amazon.in/dp/OPT000027?tag=opticart,"Nivea Serum (Vitamin C) (OPT000027) by Nivea. Category: Beauty. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,3322.9,3317.84,3384.73,3378.56,3352.87,3384.66,3345.23,3392.15,3276.61,3353.71,3366.38
Nilkamal Dining Table 3-Seater (OPT000028),Furniture,66008.66,4.3,https://cdn.opticart.example/images/furniture/28.jpg,https://www.amazon.in/dp/OPT000028?tag=opticart,"Nilkamal Dining Table 3-Seater (OPT000028) by Nilkamal. Category: Furniture. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,66999.91,68706.48,69196.29,70127.83,71516.9,73377.07,72888.03,72595.8,71830.69,71861.47,74864.44
Razer Gaming Console 4K (OPT000029),Gaming,78309.89,4.2,https://cdn.opticart.example/images/gaming/29.jpg,https://www.amazon.in/dp/OPT000029?tag=opticart,"Razer Gaming Console 4K (OPT000029) by Razer. Category: Gaming. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,75838.78,77760.08,79894.27,83091.59,86195.27,86130.22,87012.76,89935.09,90077.07,90706.37,98717.14
Aashirvaad Cooking Oil 500g (OPT000030),Groceries,763.37,4.1,https://cdn.opticart.example/images/groceries/30.jpg,https://www.amazon.in/dp/OPT000030?tag=opticart,"Aashirvaad Cooking Oil 500g (OPT000030) by Aashirvaad. Category: Groceries. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,750.08,756.9,748.71,746.74,750.16,772.1,780.06,790.34,801.78,806.17,823.23
Xiaomi Nord 32GB/128GB Dual SIM (OPT000031),Mobiles,52385.06,4.5,https://cdn.opticart.example/images/mobiles/31.jpg,https://www.amazon.in/dp/OPT000031?tag=opticart,"Xiaomi Nord 32GB/128GB Dual SIM (OPT000031) by Xiaomi. Category: Mobiles. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,52036.02,51640.66,53056.95,52087.33,52474.63,52717.48,52141.83,52361.2,51932.99,52854.6,53125.17
Asus Aspire M3 16GB/64GB SSD (OPT000032),Laptops,197088.09,5.0,https://cdn.opticart.example/images/laptops/32.jpg,https://www.amazon.in/dp/OPT000032?tag=opticart,"Asus Aspire M3 16GB/64GB SSD (OPT000032) by Asus. Category: Laptops. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,196943.21,197050.71,193897.59,193900.35,194705.58,191020.42,191825.38,190822.35,189991.42,189843.5,183712.72
BIBA Backpack Oversized Linen (OPT000033),Fashion,6586.39,3.8,https://cdn.opticart.example/images/fashion/33.jpg,https://www.amazon.in/dp/OPT000033?tag=opticart,"BIBA Backpack Oversized Linen (OPT000033) by BIBA. Category: Fashion. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,6761.91,6755.21,6808.82,6851.55,6955.17,6854.59,6819.08,6913.39,6929.31,7046.33,7243.31
JBL Smart TV 1852 Noise Cancel (OPT000034),Electronics,10364.46,3.6,https://cdn.opticart.example/images/electronics/34.jpg,https://www.amazon.in/dp/OPT000034?tag=opticart,"JBL Smart TV 1852 Noise Cancel (OPT000034) by JBL. Category: Electronics. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,10464.81,10448.24,10414.57,10064.28,10151.09,10433.88,10482.66,10450.64,10631.39,10419.59,10350.34
Haier Refrigerator 5 Star (OPT000035),Home Appliances,3136.66,4.9,https://cdn.opticart.example/images/home-appliances/35.jpg,https://www.amazon.in/dp/OPT000035?tag=opticart,"Haier Refrigerator 5 Star (OPT000035) by Haier. Category: Home Appliances. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,3097.04,3141.1,3090.76,3083.35,3063.34,3102.36,3103.73,3121.19,3150.71,3044.79,3043.1
Sapiens (Fiction) (OPT000036),Books,952.68,3.6,https://cdn.opticart.example/images/books/36.jpg,https://www.amazon.in/dp/OPT000036?tag=opticart,"Sapiens (Fiction) (OPT000036) by Oxford. Category: Books. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,921.28,935.18,947.67,952.1,959.83,960.29,975.08,940.51,924.03,923.48,926.11
Mamaearth Sunscreen Long Lasting (OPT000037),Beauty,4387.68,3.4,https://cdn.opticart.example/images/beauty/37.jpg,https://www.amazon.in/dp/OPT000037?tag=opticart,"Mamaearth Sunscreen Long Lasting (OPT000037) by Mamaearth. Category: Beauty. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,4252.77,4380.78,4374.55,4466.48,4562.6,4562.81,4670.71,4726.87,4621.12,4585.19,4779.29
Pepperfry Sofa 3-Seater (OPT000038),Furniture,60895.51,4.8,https://cdn.opticart.example/images/furniture/38.jpg,https://www.amazon.in/dp/OPT000038?tag=opticart,"Pepperfry Sofa 3-Seater (OPT000038) by Pepperfry. Category: Furniture. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,61310.95,61041.07,61205.94,61416.24,61085.13,60695.87,59859.07,58029.29,58676.42,58342.74,57613.17
Razer Controller Wireless (OPT000039),Gaming,149910.35,4.3,https://cdn.opticart.example/images/gaming/39.jpg,https://www.amazon.in/dp/OPT000039?tag=opticart,"Razer Controller Wireless (OPT000039) by Razer. Category: Gaming. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,154038.99,153154.0,153223.12,147015.37,148652.71,151774.45,153586.66,155663.53,156287.67,161823.36,165834.83
Amul Atta 5kg (OPT000040),Groceries,409.84,3.8,https://cdn.opticart.example/images/groceries/40.jpg,https://www.amazon.in/dp/OPT000040?tag=opticart,"Amul Atta 5kg (OPT000040) by Amul. Category: Groceries. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,398.24,393.44,391.26,388.7,387.15,384.32,387.48,386.93,388.01,384.13,379.3
Samsung Reno (1024GB) 5G (OPT000041),Mobiles,95757.71,3.8,https://cdn.opticart.example/images/mobiles/41.jpg,https://www.amazon.in/dp/OPT000041?tag=opticart,"Samsung Reno (1024GB) 5G (OPT000041) by Samsung. Category: Mobiles. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,100927.83,102565.81,101840.74,102126.32,100419.61,98583.65,98814.03,97553.89,99059.98,101387.97,100298.67
Asus Inspiron M2 12GB/256GB Student (OPT000042),Laptops,173184.32,4.3,https://cdn.opticart.example/images/laptops/42.jpg,https://www.amazon.in/dp/OPT000042?tag=opticart,"Asus Inspiron M2 12GB/256GB Student (OPT000042) by Asus. Category: Laptops. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,170967.7,168260.31,176201.22,180560.19,182075.11,186059.38,186769.92,185888.92,189063.92,185107.08,194280.64
Levi's T-Shirt Ethnic (OPT000043),Fashion,11851.68,4.2,https://cdn.opticart.example/images/fashion/43.jpg,https://www.amazon.in/dp/OPT000043?tag=opticart,"Levi's T-Shirt Ethnic (OPT000043) by Levi's. Category: Fashion. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,11929.64,11636.27,11440.75,11296.4,10919.97,11149.82,11174.64,11357.88,11265.53,11143.68,10681.19
Mi Monitor 5614 Wireless (OPT000044),Electronics,22636.69,4.6,https://cdn.opticart.example/images/electronics/44.jpg,https://www.amazon.in/dp/OPT000044?tag=opticart,"Mi Monitor 5614 Wireless (OPT000044) by Mi. Category: Electronics. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,21867.24,21907.54,22208.61,22386.77,22218.8,22682.03,23331.37,23217.44,22981.6,22528.15,22663.78
LG Air Conditioner 5 Star (OPT000045),Home Appliances,27636.53,4.5,https://cdn.opticart.example/images/home-appliances/45.jpg,https://www.amazon.in/dp/OPT000045?tag=opticart,"LG Air Conditioner 5 Star (OPT000045) by LG. Category: Home Appliances. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,26699.32,26348.55,25827.92,25791.56,25811.75,25901.4,26120.99,26713.51,27027.62,26814.5,26577.17
The Psychology of Money (Non-Fiction) (OPT000046),Books,251.31,4.1,https://cdn.opticart.example/images/books/46.jpg,https://www.amazon.in/dp/OPT000046?tag=opticart,"The Psychology of Money (Non-Fiction) (OPT000046) by Penguin. Category: Books. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,264.1,260.0,257.46,255.03,252.41,255.13,259.01,264.02,265.38,256.83,250.44
L'Oréal Face Wash Paraben Free (OPT000047),Beauty,4481.57,3.7,https://cdn.opticart.example/images/beauty/47.jpg,https://www.amazon.in/dp/OPT000047?tag=opticart,"L'Oréal Face Wash Paraben Free (OPT000047) by L'Oréal. Category: Beauty. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,4378.77,4350.79,4384.23,4334.5,4387.96,4269.06,4356.55,4336.17,4292.21,4222.4,4099.07
Urban Ladder Bed Storage (OPT000048),Furniture,89852.99,3.6,https://cdn.opticart.example/images/furniture/48.jpg,https://www.amazon.in/dp/OPT000048?tag=opticart,"Urban Ladder Bed Storage (OPT000048) by Urban Ladder. Category: Furniture. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,92682.75,93654.23,95563.86,96120.28,95522.62,98806.12,97105.32,98741.17,94878.29,92866.79,93356.38
Nintendo Mechanical Keyboard 120FPS (OPT000049),Gaming,71037.84,3.4,https://cdn.opticart.example/images/gaming/49.jpg,https://www.amazon.in/dp/OPT000049?tag=opticart,"Nintendo Mechanical Keyboard 120FPS (OPT000049) by Nintendo. Category: Gaming. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,69142.05,66933.17,68418.14,68206.65,68396.53,68706.38,69652.47,70570.32,70652.79,70996.98,71700.08
Amul Ghee 2kg (OPT000050),Groceries,1723.79,3.9,https://cdn.opticart.example/images/groceries/50.jpg,https://www.amazon.in/dp/OPT000050?tag=opticart,"Amul Ghee 2kg (OPT000050) by Amul. Category: Groceries. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,1758.07,1733.86,1712.83,1693.41,1694.63,1660.27,1621.67,1589.95,1616.46,1554.62,1468.67
Apple Nord 4GB/64GB Fast Charge (OPT000051),Mobiles,97322.39,4.5,https://cdn.opticart.example/images/mobiles/51.jpg,https://www.amazon.in/dp/OPT000051?tag=opticart,"Apple Nord 4GB/64GB Fast Charge (OPT000051) by Apple. Category: Mobiles. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,97668.41,96573.93,96250.61,94659.09,93393.43,91576.93,90127.11,92022.92,90813.31,92340.03,89306.31
"Acer MacBook Air M3 6GB 512GB 13.3"" (OPT000052)",Laptops,182935.24,4.2,https://cdn.opticart.example/images/laptops/52.jpg,https://www.amazon.in/dp/OPT000052?tag=opticart,"Acer MacBook Air M3 6GB 512GB 13.3"" (OPT000052) by Acer. Category: Laptops. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,187142.72,187139.5,189833.79,191337.35,188642.2,190487.79,188956.44,187586.83,185945.54,183062.41,180911.96
Levi's Watch Regular Polyester (OPT000053),Fashion,10506.38,3.8,https://cdn.opticart.example/images/fashion/53.jpg,https://www.amazon.in/dp/OPT000053?tag=opticart,"Levi's Watch Regular Polyester (OPT000053) by Levi's. Category: Fashion. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,10819.21,10786.43,10475.61,10460.38,10438.1,10401.24,10365.47,10289.53,10534.57,10817.86,10734.51
Sony Bluetooth Speaker Wireless (OPT000054),Electronics,47172.1,4.3,https://cdn.opticart.example/images/electronics/54.jpg,https://www.amazon.in/dp/OPT000054?tag=opticart,"Sony Bluetooth Speaker Wireless (OPT000054) by Sony. Category: Electronics. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,48290.05,49222.52,49410.96,49146.74,49294.36,49039.62,47263.84,48120.61,49990.17,51084.08,53687.65
IFB Microwave Front Load (OPT000055),Home Appliances,37408.87,3.8,https://cdn.opticart.example/images/home-appliances/55.jpg,https://www.amazon.in/dp/OPT000055?tag=opticart,"IFB Microwave Front Load (OPT000055) by IFB. Category: Home Appliances. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,37473.91,37712.52,38348.12,38678.04,38565.77,39257.69,39059.17,39274.55,39284.53,38797.11,39573.71
Ikigai - Fiction (OPT000056),Books,1408.37,4.5,https://cdn.opticart.example/images/books/56.jpg,https://www.amazon.in/dp/OPT000056?tag=opticart,"Ikigai - Fiction (OPT000056) by HarperCollins. Category: Books. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,1443.84,1434.63,1458.21,1453.65,1396.76,1379.75,1362.97,1389.81,1400.3,1384.04,1336.4
Lakme Moisturizer (Matte) (OPT000057),Beauty,1764.17,3.3,https://cdn.opticart.example/images/beauty/57.jpg,https://www.amazon.in/dp/OPT000057?tag=opticart,"Lakme Moisturizer (Matte) (OPT000057) by Lakme. Category: Beauty. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,1724.64,1731.49,1736.18,1732.03,1734.13,1713.45,1702.92,1658.35,1631.63,1604.83,1550.85
Nilkamal Sofa Fabric Compact (OPT000058),Furniture,26654.52,4.5,https://cdn.opticart.example/images/furniture/58.jpg,https://www.amazon.in/dp/OPT000058?tag=opticart,"Nilkamal Sofa Fabric Compact (OPT000058) by Nilkamal. Category: Furniture. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,26776.33,26837.67,26617.47,26614.95,26695.82,26834.19,26662.02,26445.79,26591.06,26940.02,26901.16
Razer Controller Pro (OPT000059),Gaming,70887.75,4.3,https://cdn.opticart.example/images/gaming/59.jpg,https://www.amazon.in/dp/OPT000059?tag=opticart,"Razer Controller Pro (OPT000059) by Razer. Category: Gaming. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,72773.7,73539.6,74384.59,75244.26,72861.12,72858.78,71047.58,69789.92,69412.82,70407.82,70648.71
Amul Cooking Oil (500g) (OPT000060),Groceries,458.73,4.4,https://cdn.opticart.example/images/groceries/60.jpg,https://www.amazon.in/dp/OPT000060?tag=opticart,"Amul Cooking Oil (500g) (OPT000060) by Amul. Category: Groceries. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,474.56,492.29,497.75,500.11,512.84,529.05,528.8,532.34,535.33,540.98,584.77
Xiaomi Moto G 32GB/128GB AI Camera (OPT000061),Mobiles,46745.19,4.0,https://cdn.opticart.example/images/mobiles/61.jpg,https://www.amazon.in/dp/OPT000061?tag=opticart,"Xiaomi Moto G 32GB/128GB AI Camera (OPT000061) by Xiaomi. Category: Mobiles. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,47051.98,47200.63,46018.25,46760.64,46573.2,45672.5,45895.03,46232.27,46291.23,47187.96,46824.43
Lenovo Aspire Ryzen 5 6GB/128GB Office (OPT000062),Laptops,63029.35,3.7,https://cdn.opticart.example/images/laptops/62.jpg,https://www.amazon.in/dp/OPT000062?tag=opticart,"Lenovo Aspire Ryzen 5 6GB/128GB Office (OPT000062) by Lenovo. Category: Laptops. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",Amazon,61918.3,63499.62,63744.08,62775.19,63675.91,64542.06,64566.65,64757.1,64396.86,63633.43,64828.9
