product_id,product_name,category,brand,amazon_price,flipkart_price,lowest_price,amazon_rating,flipkart_rating,amazon_reviews,flipkart_reviews,delivery_days_amazon,delivery_days_flipkart,stock_status,image_url,amazon_url,flipkart_url,description,ai_score,ai_recommendation,future_price_prediction,discount_percentage,price_day_1,price_day_2,price_day_3,price_day_4,price_day_5,price_day_6,price_day_7,price_day_8,price_day_9,price_day_10,trend,popularity_score,search_count,purchase_count,last_updated
OPT-000011,Xiaomi Redmi Note 13 6GB/64GB 5G (OPT000011),Mobiles,Xiaomi,52302.39,51503.38,51503.38,4.4,4.1,22646,11950,3,5,In Stock,https://loremflickr.com/600/600/smartphone?lock=11,https://www.amazon.in/dp/OPT000011?tag=opticart,https://www.flipkart.com/item/OPT000011?pid=opticart,"Xiaomi Redmi Note 13 6GB/64GB 5G (OPT000011) by Xiaomi. Category: Mobiles. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",59,WAIT,57909.61,8.49,53149.78,53682.77,53837.02,55545.72,54569.09,54068.16,54483.57,55154.28,55520.56,56281.86,UP,89,204334,43541,2026-05-25 19:59:51
OPT-000012,Dell Inspiron 15 Ryzen 5 16GB/1024GB (OPT000012),Laptops,Dell,82264.38,80564.73,80564.73,4.5,4.5,22960,12530,5,2,In Stock,https://loremflickr.com/600/600/laptop?lock=12,https://www.amazon.in/dp/OPT000012?tag=opticart,https://www.flipkart.com/item/OPT000012?pid=opticart,"Dell Inspiron 15 Ryzen 5 16GB/1024GB (OPT000012) by Dell. Category: Laptops. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",64,WAIT,85542.1,6.46,80850.61,82408.14,83824.16,85375.47,83581.26,86110.7,86129.55,85710.48,85812.06,84027.08,STABLE,94,21529,1781,2026-05-31 19:59:51
OPT-000013,Puma Watch Sports (OPT000013),Fashion,Puma,9051.84,8631.93,8631.93,3.9,4.1,7722,17690,7,8,In Stock,https://loremflickr.com/600/600/watch?lock=13,https://www.amazon.in/dp/OPT000013?tag=opticart,https://www.flipkart.com/item/OPT000013?pid=opticart,"Puma Watch Sports (OPT000013) by Puma. Category: Fashion. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",74,PRICE MAY DROP,7901.59,4.64,8553.81,8436.38,8315.28,8117.19,8258.56,8241.14,8383.23,8417.48,8202.41,8069.07,DOWN,55,98692,6935,2026-05-26 19:59:51
OPT-000014,Philips Monitor Dolby (OPT000014),Electronics,Philips,19058.15,18250.68,18250.68,3.9,5.0,21648,11641,5,1,In Stock,https://loremflickr.com/600/600/television?lock=14,https://www.amazon.in/dp/OPT000014?tag=opticart,https://www.flipkart.com/item/OPT000014?pid=opticart,"Philips Monitor Dolby (OPT000014) by Philips. Category: Electronics. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",68,WAIT,17086.62,4.24,18057.68,17857.1,17977.37,17681.45,17515.14,17369.28,17490.88,17620.76,17506.77,17312.16,DOWN,81,158683,16206,2026-05-28 19:59:51
OPT-000015,Whirlpool Microwave Energy Efficient (OPT000015),Home Appliances,Whirlpool,35805.16,38225.48,35805.16,3.7,4.0,1622,5120,4,8,In Stock,https://loremflickr.com/600/600/microwave?lock=15,https://www.amazon.in/dp/OPT000015?tag=opticart,https://www.flipkart.com/item/OPT000015?pid=opticart,"Whirlpool Microwave Energy Efficient (OPT000015) by Whirlpool. Category: Home Appliances. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",59,WAIT,33983.82,6.33,35804.92,36499.33,36332.51,36103.29,35996.4,35624.18,34857.85,34168.67,33999.67,34778.55,STABLE,81,19292,1337,2026-06-08 19:59:51
OPT-000016,Deep Work (Paperback) (OPT000016),Books,HarperCollins,1539.39,1707.29,1539.39,3.8,3.9,1824,8766,5,3,In Stock,https://loremflickr.com/600/600/air-conditioner?lock=16,https://www.amazon.in/dp/OPT000016?tag=opticart,https://www.flipkart.com/item/OPT000016?pid=opticart,"Deep Work (Paperback) (OPT000016) by HarperCollins. Category: Books. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",52,WAIT,1771.36,9.83,1581.47,1600.97,1636.0,1643.88,1648.27,1656.52,1642.51,1639.39,1656.7,1699.12,UP,75,60756,12356,2026-05-31 19:59:51
OPT-000017,Maybelline Serum (Vitamin C) (OPT000017),Beauty,Maybelline,566.55,557.82,557.82,4.0,4.9,6052,2359,5,2,In Stock,https://loremflickr.com/600/600/serum?lock=17,https://www.amazon.in/dp/OPT000017?tag=opticart,https://www.flipkart.com/item/OPT000017?pid=opticart,"Maybelline Serum (Vitamin C) (OPT000017) by Maybelline. Category: Beauty. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",66,PRICE MAY DROP,465.92,1.54,556.95,549.3,545.2,546.81,537.38,544.84,542.81,524.37,518.65,496.57,DOWN,64,90079,12724,2026-05-26 19:59:51
OPT-000018,Nilkamal Wardrobe Engineered Wood Ergonomic (OPT000018),Furniture,Nilkamal,22841.84,21911.8,21911.8,4.3,4.8,10975,12548,8,2,In Stock,https://loremflickr.com/600/600/wardrobe?lock=18,https://www.amazon.in/dp/OPT000018?tag=opticart,https://www.flipkart.com/item/OPT000018?pid=opticart,"Nilkamal Wardrobe Engineered Wood Ergonomic (OPT000018) by Nilkamal. Category: Furniture. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",63,WAIT,24304.57,7.05,22573.86,22600.0,22587.93,22302.93,22656.22,23021.52,23114.68,23239.47,23503.07,23572.86,UP,66,20932,2508,2026-05-28 19:59:51
OPT-000019,MSI Gaming Console 8195 120FPS (OPT000019),Gaming,MSI,47985.95,50149.13,47985.95,4.3,3.7,18243,32238,9,5,In Stock,https://loremflickr.com/600/600/gaming-console?lock=19,https://www.amazon.in/dp/OPT000019?tag=opticart,https://www.flipkart.com/item/OPT000019?pid=opticart,"MSI Gaming Console 8195 120FPS (OPT000019) by MSI. Category: Gaming. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",70,WAIT,48021.2,4.31,49286.0,49298.04,48653.96,49084.62,48322.26,47498.4,47065.54,46831.38,47652.35,48134.58,STABLE,97,232210,13691,2026-05-30 19:59:51
OPT-000020,Patanjali Tea 2L (OPT000020),Groceries,Patanjali,2501.6,2444.48,2444.48,4.5,4.5,1339,1911,3,1,In Stock,https://loremflickr.com/600/600/tea?lock=20,https://www.amazon.in/dp/OPT000020?tag=opticart,https://www.flipkart.com/item/OPT000020?pid=opticart,"Patanjali Tea 2L (OPT000020) by Patanjali. Category: Groceries. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",66,WAIT,2500.28,3.76,2474.29,2506.65,2496.26,2498.74,2474.39,2495.93,2495.92,2477.21,2539.98,2492.57,STABLE,47,46140,10337,2026-05-30 19:59:51
OPT-000021,Vivo V30 4GB/64GB Fast Charge (OPT000021),Mobiles,Vivo,16159.34,17723.19,16159.34,4.4,4.6,4627,29781,4,5,In Stock,https://loremflickr.com/600/600/smartphone?lock=21,https://www.amazon.in/dp/OPT000021?tag=opticart,https://www.flipkart.com/item/OPT000021?pid=opticart,"Vivo V30 4GB/64GB Fast Charge (OPT000021) by Vivo. Category: Mobiles. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",60,WAIT,15959.65,8.82,16070.55,15833.8,16244.34,15871.27,15665.43,15785.76,15621.43,15786.19,15933.34,16016.96,STABLE,95,46285,3188,2026-06-04 19:59:51
OPT-000022,Lenovo IdeaPad Slim 3 M2 32GB/1024GB (OPT000022),Laptops,Lenovo,107665.56,108996.18,107665.56,3.9,4.2,4498,2579,4,1,In Stock,https://loremflickr.com/600/600/laptop?lock=22,https://www.amazon.in/dp/OPT000022?tag=opticart,https://www.flipkart.com/item/OPT000022?pid=opticart,"Lenovo IdeaPad Slim 3 M2 32GB/1024GB (OPT000022) by Lenovo. Category: Laptops. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",55,WAIT,108821.74,3.94,108241.01,111088.13,111387.36,109864.07,112080.79,110080.34,108033.49,107898.07,106449.11,108378.42,STABLE,96,212247,39007,2026-05-28 19:59:51
OPT-000023,BIBA Dress Slim Fit Cotton (OPT000023),Fashion,BIBA,10450.47,10943.15,10450.47,3.7,3.8,9943,2988,7,7,In Stock,https://loremflickr.com/600/600/clothing?lock=23,https://www.amazon.in/dp/OPT000023?tag=opticart,https://www.flipkart.com/item/OPT000023?pid=opticart,"BIBA Dress Slim Fit Cotton (OPT000023) by BIBA. Category: Fashion. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",52,WAIT,11810.65,9.57,10789.64,11301.69,11432.8,11479.51,11442.02,11386.55,11536.06,11357.49,11515.97,11556.93,UP,70,106041,18608,2026-06-03 19:59:51
OPT-000024,Samsung Soundbar 3978 Bass Boost (OPT000024),Electronics,Samsung,54839.2,56604.88,54839.2,4.5,3.7,19340,7476,2,4,In Stock,https://loremflickr.com/600/600/speaker?lock=24,https://www.amazon.in/dp/OPT000024?tag=opticart,https://www.flipkart.com/item/OPT000024?pid=opticart,"Samsung Soundbar 3978 Bass Boost (OPT000024) by Samsung. Category: Electronics. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",64,WAIT,54620.25,3.12,54298.79,54612.7,54501.88,53549.85,54400.14,53658.05,53857.17,53055.81,53704.19,54289.15,STABLE,91,143622,16135,2026-05-25 19:59:51
OPT-000025,LG Water Purifier 1.5 Ton Inverter (OPT000025),Home Appliances,LG,79461.57,76142.95,76142.95,4.4,5.0,6880,5628,4,7,In Stock,https://loremflickr.com/600/600/water-purifier?lock=25,https://www.amazon.in/dp/OPT000025?tag=opticart,https://www.flipkart.com/item/OPT000025?pid=opticart,"LG Water Purifier 1.5 Ton Inverter (OPT000025) by LG. Category: Home Appliances. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",64,WAIT,78837.05,4.18,72482.28,72701.95,74045.24,75778.86,74352.27,77360.32,76700.18,77658.45,77752.28,76352.43,UP,70,22465,1355,2026-06-04 19:59:51
OPT-000026,Atomic Habits (Bestseller) (OPT000026),Books,Oxford,1677.85,1639.92,1639.92,3.7,4.2,4621,2544,1,3,In Stock,https://loremflickr.com/600/600/book?lock=26,https://www.amazon.in/dp/OPT000026?tag=opticart,https://www.flipkart.com/item/OPT000026?pid=opticart,"Atomic Habits (Bestseller) (OPT000026) by Oxford. Category: Books. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",69,WAIT,1613.97,2.26,1601.07,1599.44,1605.1,1624.91,1647.32,1626.22,1636.41,1619.01,1606.65,1596.72,STABLE,64,79820,8831,2026-05-26 19:59:51
OPT-000027,Maybelline Shampoo (Long Lasting) (OPT000027),Beauty,Maybelline,2453.51,2521.64,2453.51,3.8,3.3,13438,7776,2,3,In Stock,https://loremflickr.com/600/600/shampoo?lock=27,https://www.amazon.in/dp/OPT000027?tag=opticart,https://www.flipkart.com/item/OPT000027?pid=opticart,"Maybelline Shampoo (Long Lasting) (OPT000027) by Maybelline. Category: Beauty. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",58,WAIT,2654.41,6.07,2518.19,2480.22,2500.61,2537.54,2522.87,2523.86,2565.87,2571.21,2575.67,2612.08,STABLE,73,19974,3204,2026-05-31 19:59:51
OPT-000028,HomeTown Dining Table Compact (OPT000028),Furniture,HomeTown,103479.93,95807.26,95807.26,3.8,3.6,260,11323,6,5,In Stock,https://loremflickr.com/600/600/air-conditioner?lock=28,https://www.amazon.in/dp/OPT000028?tag=opticart,https://www.flipkart.com/item/OPT000028?pid=opticart,"HomeTown Dining Table Compact (OPT000028) by HomeTown. Category: Furniture. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",56,WAIT,118277.39,14.52,99608.11,101540.56,101655.4,105055.77,107863.88,106815.9,111519.59,109639.1,109123.33,112082.59,UP,62,47343,3509,2026-06-01 19:59:51
OPT-000029,Sony Controller 4154 120FPS (OPT000029),Gaming,Sony,68752.51,69209.72,68752.51,3.9,3.6,10178,17008,6,2,In Stock,https://loremflickr.com/600/600/gamepad?lock=29,https://www.amazon.in/dp/OPT000029?tag=opticart,https://www.flipkart.com/item/OPT000029?pid=opticart,"Sony Controller 4154 120FPS (OPT000029) by Sony. Category: Gaming. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",54,WAIT,71238.42,4.65,69144.61,67281.5,67757.2,69067.13,70215.48,72101.96,70689.04,71371.61,71227.08,70127.18,STABLE,86,116901,15890,2026-06-08 19:59:51
OPT-000030,Nestle Ghee (2kg) (OPT000030),Groceries,Nestle,1381.27,1521.7,1381.27,4.2,3.4,1157,5772,1,3,In Stock,https://loremflickr.com/600/600/butter?lock=30,https://www.amazon.in/dp/OPT000030?tag=opticart,https://www.flipkart.com/item/OPT000030?pid=opticart,"Nestle Ghee (2kg) (OPT000030) by Nestle. Category: Groceries. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",61,PRICE MAY DROP,1280.91,9.23,1415.31,1397.98,1371.88,1410.02,1391.09,1389.93,1396.08,1375.54,1361.45,1340.38,DOWN,70,59535,5311,2026-06-05 19:59:51
OPT-000031,Xiaomi Redmi 13C 12GB/128GB 5G (OPT000031),Mobiles,Xiaomi,71447.44,67219.33,67219.33,3.6,3.9,7020,8661,1,4,In Stock,https://loremflickr.com/600/600/smartphone?lock=31,https://www.amazon.in/dp/OPT000031?tag=opticart,https://www.flipkart.com/item/OPT000031?pid=opticart,"Xiaomi Redmi 13C 12GB/128GB 5G (OPT000031) by Xiaomi. Category: Mobiles. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",56,WAIT,65807.66,5.92,66610.98,66954.95,65919.75,66632.08,66610.99,66148.97,65004.4,65758.87,65956.22,65875.94,STABLE,85,62759,13969,2026-06-03 19:59:51
OPT-000032,Lenovo IdeaPad Slim 3 Ryzen 7 32GB/256GB (OPT000032),Laptops,Lenovo,77754.78,84363.36,77754.78,4.4,4.2,20746,5728,2,1,Limited Stock,https://loremflickr.com/600/600/laptop?lock=32,https://www.amazon.in/dp/OPT000032?tag=opticart,https://www.flipkart.com/item/OPT000032?pid=opticart,"Lenovo IdeaPad Slim 3 Ryzen 7 32GB/256GB (OPT000032) by Lenovo. Category: Laptops. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",52,WAIT,85654.15,8.1,81379.99,79838.93,80688.03,80669.13,81580.29,81216.21,81373.74,84610.98,82532.67,84374.63,STABLE,100,222432,40110,2026-05-27 19:59:51
OPT-000033,BIBA Jeans Formal (OPT000033),Fashion,BIBA,10652.83,10593.91,10593.91,4.8,4.7,13479,8850,6,4,In Stock,https://loremflickr.com/600/600/jeans?lock=33,https://www.amazon.in/dp/OPT000033?tag=opticart,https://www.flipkart.com/item/OPT000033?pid=opticart,"BIBA Jeans Formal (OPT000033) by BIBA. Category: Fashion. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",55,WAIT,12100.25,10.8,11238.96,11246.58,11419.29,11426.31,11707.69,11619.87,11561.69,11573.56,11875.99,11821.79,UP,75,6052,1464,2026-05-30 19:59:51
OPT-000034,Samsung Toner Cartridge 5288 Wireless (OPT000034),Electronics,Samsung,24239.57,24972.73,24239.57,2.9,3.7,8034,20040,4,2,In Stock,https://loremflickr.com/600/600/printer?lock=34,https://www.amazon.in/dp/OPT000034?tag=opticart,https://www.flipkart.com/item/OPT000034?pid=opticart,"Samsung Toner Cartridge 5288 Wireless (OPT000034) by Samsung. Category: Electronics. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",63,WAIT,23293.88,2.94,24193.2,24522.03,24725.7,24309.34,24156.18,24281.27,24376.66,23912.07,23750.52,23903.23,STABLE,82,212254,12265,2026-05-25 19:59:51
OPT-000035,Samsung Microwave Frost Free (OPT000035),Home Appliances,Samsung,12921.78,12949.22,12921.78,4.5,3.7,8330,16907,10,2,In Stock,https://loremflickr.com/600/600/microwave?lock=35,https://www.amazon.in/dp/OPT000035?tag=opticart,https://www.flipkart.com/item/OPT000035?pid=opticart,"Samsung Microwave Frost Free (OPT000035) by Samsung. Category: Home Appliances. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",63,WAIT,12759.64,2.61,13057.34,12608.18,12707.28,13051.56,13102.6,13052.55,13268.31,12993.83,12958.92,12879.42,STABLE,79,13694,1839,2026-05-30 19:59:51
OPT-000036,The Alchemist (Self-Help) (OPT000036),Books,Bloomsbury,1075.07,1169.94,1075.07,3.9,3.8,249,6835,2,4,In Stock,https://loremflickr.com/600/600/book?lock=36,https://www.amazon.in/dp/OPT000036?tag=opticart,https://www.flipkart.com/item/OPT000036?pid=opticart,"The Alchemist (Self-Help) (OPT000036) by Bloomsbury. Category: Books. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",64,WAIT,1017.24,8.11,1058.3,1058.55,1048.61,1059.25,1037.96,1031.24,1020.34,1029.18,1025.44,1027.02,STABLE,59,55090,9489,2026-06-06 19:59:51
OPT-000037,Maybelline Face Wash (Matte) (OPT000037),Beauty,Maybelline,1070.69,1067.83,1067.83,3.7,4.5,4759,3471,5,4,In Stock,https://loremflickr.com/600/600/air-conditioner?lock=37,https://www.amazon.in/dp/OPT000037?tag=opticart,https://www.flipkart.com/item/OPT000037?pid=opticart,"Maybelline Face Wash (Matte) (OPT000037) by Maybelline. Category: Beauty. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",78,PRICE MAY DROP,974.64,0.27,1014.31,993.53,1009.9,1004.71,1009.72,1023.75,1003.06,994.8,980.19,989.43,STABLE,56,108317,21644,2026-06-04 19:59:51
OPT-000038,HomeTown Office Chair Metal Compact (OPT000038),Furniture,HomeTown,27210.6,29610.42,27210.6,4.3,4.1,8477,11018,7,9,In Stock,https://loremflickr.com/600/600/air-conditioner?lock=38,https://www.amazon.in/dp/OPT000038?tag=opticart,https://www.flipkart.com/item/OPT000038?pid=opticart,"HomeTown Office Chair Metal Compact (OPT000038) by HomeTown. Category: Furniture. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",73,PRICE MAY DROP,22548.26,8.1,27372.01,27352.3,27030.72,27074.35,26683.41,26343.78,25466.41,25355.89,24634.99,24004.15,DOWN,79,63243,3532,2026-05-27 19:59:51
OPT-000039,MSI Gaming Mouse Wireless (OPT000039),Gaming,MSI,35904.57,38699.7,35904.57,3.7,4.5,9885,4426,4,4,In Stock,https://loremflickr.com/600/600/mouse?lock=39,https://www.amazon.in/dp/OPT000039?tag=opticart,https://www.flipkart.com/item/OPT000039?pid=opticart,"MSI Gaming Mouse Wireless (OPT000039) by MSI. Category: Gaming. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",57,WAIT,34762.91,7.22,36644.75,36662.76,36597.88,36698.07,36028.35,35551.75,35376.05,35287.59,35027.74,35139.17,DOWN,82,31417,6077,2026-06-07 19:59:51
OPT-000040,Tata Biscuits 2L (OPT000040),Groceries,Tata,264.64,269.86,264.64,4.1,4.0,4405,4993,2,1,In Stock,https://loremflickr.com/600/600/cookies?lock=40,https://www.amazon.in/dp/OPT000040?tag=opticart,https://www.flipkart.com/item/OPT000040?pid=opticart,"Tata Biscuits 2L (OPT000040) by Tata. Category: Groceries. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",59,WAIT,275.75,2.7,258.9,257.41,257.53,247.09,249.85,255.09,258.14,261.63,262.68,271.98,UP,85,67673,13608,2026-06-02 19:59:51
OPT-000041,Realme Narzo 70 6GB/256GB 120Hz (OPT000041),Mobiles,Realme,98237.95,90447.16,90447.16,4.4,4.2,1586,14835,2,2,In Stock,https://loremflickr.com/600/600/smartphone?lock=41,https://www.amazon.in/dp/OPT000041?tag=opticart,https://www.flipkart.com/item/OPT000041?pid=opticart,"Realme Narzo 70 6GB/256GB 120Hz (OPT000041) by Realme. Category: Mobiles. Optimized for Indian pricing and delivery. Suitable for price comparison, trend analysis, and recommendations.",53,WAIT,91423.02,7.93,93270.69,93774.17,93341.64,91557.06,92896.64,93611.59,92557.35,93815.36,92585.23,92042.71,STABLE,77,202191,29692,2026-06-08 19:59:51
